
"RayPay Online Payment","پرداخت آنلاین رای پی"
"RayPay Payment Gateway","درگاه پرداخت رای پی"
"Enabled","فعال است"
"Title","عنوان"
"UserID","شناسه کاربری"
"Acceptor Code","کد پذیرنده"
"SSL Enabled (for callback URL)","SSL فعال؟ (برای لینک بازگشت)"
"Order Status(before send request)","وضعيت سفارش (قبل از پرداخت)"
"Order Status(after send request)","وضعيت سفارش (بعد از پرداخت)"
"Allow Specific Country","پرداخت از کشورها"
"Specific Country","پرداخت از کشورهای خاص"
"Sort Order","ترتیب ردیف"
"You will be redirected to RayPay website when you place an order.","هنگامی که سفارش را ثبت کنید برای پرداخت به درگاه رای پی ارجاع خواهید داده شد."
"Your order has been received.","سفارش شما دریافت شد."
"Click <a href=""%s"">here to print</a> a copy of your order confirmation.","برای چاپ تائیدیه سفارش خود <a href=""%s"">اینجا</a> کلیک کنید."
"RayPay Invoice ID: %s","شناسه ارجاع بانکی رای پی: %s"
"Please wait! You will be redirected to RayPay","در حال هدایت به درگاه پرداخت رای پی"
